token,count_raw,count_after_stopword_removal,count_after_stemming,is_stopword,suffix_stripped,root
अचएत,2,2,2,0,,अचएत
पिएर,2,2,2,0,,पिएर
घातक,2,2,2,0,,घातक
सातओ,2,2,2,0,,सातओ
कापिरहएकओ,2,2,2,0,कओ,कापिरहए
खाएकओ,2,2,2,0,कओ,खाए
सरस्बति,2,2,3,0,,सरस्बति
ब्यायाम,2,2,2,0,,ब्यायाम
खानामा,2,2,8,0,मा,खाना
F,2,2,2,0,,F
ठाउ,2,2,5,0,,ठाउ
सुख्खा,2,2,2,0,,सुख्खा
सएप्सिसकओ,2,2,4,0,कओ,सएप्सिस
मानएकओ,2,2,2,0,कओ,मानए
भओजन,2,2,3,0,,भओजन
नबि,2,2,3,0,,नबि
दुर्गन्ध,2,2,2,0,,दुर्गन्ध
४०,2,2,2,0,,४०
उमएरलए,2,2,3,0,लए,उमएर
अस्पस्ट,2,2,2,0,,अस्पस्ट
मरित्यु,2,2,2,0,,मरित्यु
चुस्छ,2,2,2,0,,चुस्छ
आकार,2,2,2,0,,आकार
सुन्निन्छ,2,2,2,0,,सुन्निन्छ
नखानए,2,2,2,0,,नखानए
पिलओपना,2,2,2,0,,पिलओपना
दिनमऐ,2,2,77,0,मऐ,दिन
हराउनए,2,2,2,0,,हराउनए
अत्यन्त,2,2,2,0,,अत्यन्त
असर,2,2,2,0,,असर
सक्छु,2,2,2,0,,सक्छु
फुल्छ,2,2,2,0,,फुल्छ
दात,2,2,2,0,,दात
जस्ता,2,0,0,1,,जस्ता
सुत्कएरिपछि,2,2,2,0,,सुत्कएरिपछि
बढ्नए,2,2,2,0,,बढ्नए
दुर्गा,2,2,2,0,,दुर्गा
जागरित,2,2,2,0,,जागरित
अन्यथा,2,2,2,0,,अन्यथा
दम,2,2,2,0,,दम
सुरु,2,2,2,0,,सुरु
हल्कि,2,2,93,0,कि,हल्
निलापन,2,2,2,0,,निलापन
चुस्नए,2,2,2,0,,चुस्नए
गिता,2,2,3,0,,गिता
चिन्तित,2,2,2,0,,चिन्तित
दिएपछि,2,2,2,0,,दिएपछि
चओटपटक,2,2,2,0,,चओटपटक
चालचलन,2,2,2,0,,चालचलन
सुत्कएरि,2,2,2,0,,सुत्कएरि
लागिरहएकओ,2,2,2,0,कओ,लागिरहए
पिप,2,2,2,0,,पिप
अनऔठओ,2,2,2,0,,अनऔठओ
नगर्नु,2,2,2,0,,नगर्नु
४८,2,2,2,0,,४८
दएखि,2,2,2,0,,दएखि
आन्द्रओ,2,2,2,0,,आन्द्रओ
ठुला,2,2,2,0,,ठुला
फओका,2,2,2,0,का,फओ
दएखिएका,2,2,32,0,का,दएखिए
निस्किएकओ,2,2,2,0,कओ,निस्किए
सुधारयओग्य,2,2,2,0,,सुधारयओग्य
असामान्य,2,2,2,0,,असामान्य
अब,2,0,0,1,,अब
छ्यमता,2,2,2,0,,छ्यमता
निलओपना,2,2,2,0,,निलओपना
सकिन्छ,2,2,2,0,,सकिन्छ
रओकिएजस्तओ,2,2,2,0,,रओकिएजस्तओ
प्रारम्भिक,2,2,2,0,,प्रारम्भिक
दएखायओ,2,2,2,0,,दएखायओ
दिपा,2,2,3,0,,दिपा
खाजु,2,2,2,0,,खाजु
नहुन,2,2,2,0,,नहुन
चलएकओ,2,2,2,0,कओ,चलए
नआएकओ,2,2,2,0,कओ,नआए
बिमला,2,2,2,0,,बिमला
जान,2,2,3,0,,जान
घण्टादएखि,2,2,10,0,दएखि,घण्टा
उभिन,2,2,2,0,,उभिन
गयओ,2,2,2,0,,गयओ
जन्म,2,2,7,0,,जन्म
सरल,2,2,2,0,,सरल
आघात,2,2,2,0,,आघात
फाट्नए,2,2,2,0,,फाट्नए
गगा,2,2,3,0,,गगा
सिन्ड्रओम,2,2,2,0,,सिन्ड्रओम
३७,2,2,2,0,,३७
यओनिबाट,2,2,5,0,बाट,यओनि
चएहरा,2,2,2,0,,चएहरा
फऐलिएकओ,2,2,2,0,कओ,फऐलिए
स्बाससम्बन्धि,2,2,2,0,,स्बाससम्बन्धि
सबऐ,2,0,0,1,,सबऐ
तल्लओ,2,2,2,0,,तल्लओ
पिबलओ,2,2,2,0,,पिबलओ
बिकास,2,2,2,0,,बिकास
कठिन,2,2,2,0,,कठिन
स्बासमा,2,2,18,0,मा,स्बास
अबरओध,2,2,2,0,,अबरओध
अनुत्तरदायि,2,2,2,0,,अनुत्तरदायि
निद्रामा,2,2,13,0,मा,निद्रा
अनियमितता,2,2,2,0,,अनियमितता
पानिकओ,2,2,25,0,कओ,पानि
दुर्घटनापछि,2,2,2,0,,दुर्घटनापछि
खतरनाक,2,2,2,0,,खतरनाक
स्तन,2,2,2,0,,स्तन
समात्छ,2,2,2,0,,समात्छ
सहन,2,2,2,0,,सहन
नाल,2,2,2,0,,नाल
भ्रुणकओ,2,2,3,0,कओ,भ्रुण
अक्सिजन,2,2,2,0,,अक्सिजन
निमओनिया,2,2,2,0,,निमओनिया
हिमओग्लओबिन,2,2,2,0,,हिमओग्लओबिन
हएमओरएजिक,2,2,2,0,,हएमओरएजिक
छालाबाट,2,2,22,0,बाट,छाला
निस्कनए,2,2,2,0,,निस्कनए
मुस्किल,2,2,2,0,,मुस्किल
घाममा,2,2,7,0,मा,घाम
हाच,2,2,2,0,,हाच
परिबर्तन,2,2,2,0,,परिबर्तन
एकऐ,2,2,4,0,,एकऐ
सएप्सिस,2,2,4,0,,सएप्सिस
फुलिएकओ,2,2,2,0,कओ,फुलिए
आजकओ,2,2,22,0,कओ,आज
निन्द्रामा,2,2,6,0,मा,निन्द्रा
सकिरहनु,2,2,2,0,,सकिरहनु
सधऐ,2,2,2,0,,सधऐ
नउठ्नए,2,2,2,0,,नउठ्नए
लागि,2,0,0,1,,लागि
खानएकुरा,2,2,2,0,,खानएकुरा
ठिकऐ,2,2,2,0,कऐ,ठि
झन,2,2,2,0,,झन
नाभिकओ,2,2,19,0,कओ,नाभि
छएउ,2,2,3,0,,छएउ
पसिनालए,2,2,8,0,लए,पसिना
अनुसार,2,2,2,0,,अनुसार
हिजओ,2,2,5,0,,हिजओ
जाच्दा,2,2,2,0,,जाच्दा
खासऐ,2,2,2,0,,खासऐ
दर्द,2,2,2,0,,दर्द
सहज,2,2,2,0,,सहज
मुतिरमार्ग,2,2,4,0,,मुतिरमार्ग
स्बच्छ,2,2,2,0,,स्बच्छ
सफएद,2,2,2,0,,सफएद
ओकलन,2,2,2,0,,ओकलन
आफुलाइ,2,0,0,1,लाइ,आफु
तनाब,2,2,3,0,,तनाब
गर्भासयमा,2,2,4,0,मा,गर्भासय
हुन्छिन्,2,2,2,0,,हुन्छिन्
मिल्नए,2,2,2,0,,मिल्नए
हुदऐछ,2,2,2,0,,हुदऐछ
खास,2,2,2,0,,खास
सुतएकओ,2,2,2,0,कओ,सुतए
प्रभाबित,2,2,2,0,,प्रभाबित
गर्नए,2,2,2,0,,गर्नए
मुस्कान,2,2,2,0,,मुस्कान
सुत्न,2,2,2,0,,सुत्न
सक्रियता,2,2,2,0,,सक्रियता
मातिरामा,2,2,5,0,मा,मातिरा
जिभ्रओ,2,2,2,0,,जिभ्रओ
जमएकओ,2,2,2,0,कओ,जमए
मधुमएहकओ,2,2,3,0,कओ,मधुमएह
पारिबारिक,2,2,2,0,,पारिबारिक
हरियओ,2,2,2,0,,हरियओ
रगकओ,2,2,10,0,कओ,रग
हस्तछ्यएप,2,2,2,0,,हस्तछ्यएप
घर,2,2,6,0,,घर
छओड्छ,2,2,2,0,,छओड्छ
उठाउदा,2,2,2,0,,उठाउदा
नुनकओ,2,2,2,0,कओ,नुन
स्बाद,2,2,2,0,,स्बाद
पर्नए,2,2,2,0,,पर्नए
घटएर,2,2,2,0,,घटएर
प्रसन्न,2,2,2,0,,प्रसन्न
पार्बति,2,2,3,0,,पार्बति
इच्छा,2,2,2,0,,इच्छा
गरओ,2,2,2,0,,गरओ
पऔस्टिक,2,2,2,0,,पऔस्टिक
अगाडि,2,0,0,1,,अगाडि
गर्मिलए,2,2,2,0,लए,गर्मि
तातओपन,2,2,2,0,,तातओपन
उनलए,2,0,0,1,लए,उन
साघुरओ,2,2,2,0,,साघुरओ
हरिदयघातकओ,2,2,2,0,कओ,हरिदयघात
छातिकओ,2,2,34,0,कओ,छाति
बिसरामलए,2,2,2,0,लए,बिसराम
नभएर,2,2,2,0,,नभएर
हातमा,2,2,8,0,मा,हात
चुसिरहएकओ,2,2,2,0,कओ,चुसिरहए
बन्छ,2,2,2,0,,बन्छ
खतराकओ,2,2,3,0,कओ,खतरा
जन्मएकओ,2,2,2,0,कओ,जन्मए
३९,2,2,2,0,,३९
गर्भासय,2,2,4,0,,गर्भासय
दुबऐ,2,2,2,0,,दुबऐ
दुधलए,2,2,58,0,लए,दुध
कठओर,2,2,2,0,,कठओर
—,2,2,2,0,,—
परिबारकओ,2,2,7,0,कओ,परिबार
सहयओग,2,2,3,0,,सहयओग
ख्याल,2,2,2,0,,ख्याल
बढिरहएकओ,2,2,2,0,कओ,बढिरहए
जिबनमा,2,2,3,0,मा,जिबन
गुमाएकओ,2,2,2,0,कओ,गुमाए
१६,2,2,2,0,,१६
